ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
06390,10555961,2608.48,380880,94.12,236,660,0.09,0.25
10001,1609401,397.70,0,0.00,21102,12476,53.06,31.37
10002,2277670,562.84,0,0.00,81410,34541,144.64,61.37
10003,1493004,368.94,0,0.00,56024,31078,151.85,84.24
10004,1449744,358.25,0,0.00,3089,2197,8.62,6.13
10005,190416,47.05,0,0.00,7135,5317,151.64,113.00
10006,237784,58.76,0,0.00,3011,1991,51.24,33.88
10007,423358,104.62,0,0.00,6988,3143,66.80,30.04
10009,1596985,394.63,0,0.00,61347,31709,155.45,80.35
10010,1011819,250.03,0,0.00,31834,18030,127.32,72.11
10011,1705243,421.38,0,0.00,50984,33252,120.99,78.91
10012,837301,206.91,0,0.00,24090,14633,116.43,70.72
10013,1430444,353.48,0,0.00,27700,13460,78.36,38.08
10014,1474952,364.48,0,0.00,31959,21689,87.68,59.51
10016,1378326,340.60,0,0.00,54183,35617,159.08,104.57
10017,829152,204.89,0,0.00,16575,12875,80.90,62.84
10018,833392,205.94,0,0.00,5229,4425,25.39,21.49
10019,1761259,435.22,0,0.00,42870,31404,98.50,72.16
10020,71560,17.68,0,0.00,0,0,0.00,0.00
10021,1002597,247.75,0,0.00,43631,28628,176.11,115.55
10022,1130199,279.28,0,0.00,31924,23485,114.31,84.09
10023,1270408,313.93,0,0.00,60998,39402,194.30,125.51
10024,2221831,549.04,0,0.00,59283,33952,107.98,61.84
10025,1946717,481.05,0,0.00,94600,47617,196.65,98.98
10026,860745,212.70,0,0.00,34003,15823,159.86,74.39
10027,2257092,557.75,0,0.00,59707,25071,107.05,44.95
10028,813698,201.07,0,0.00,45141,28139,224.50,139.94
10029,2136945,528.06,0,0.00,76003,31121,143.93,58.93
10030,722465,178.53,0,0.00,26999,12976,151.23,72.68
10031,1685544,416.51,0,0.00,56438,22604,135.50,54.27
10032,1702842,420.79,0,0.00,57331,21417,136.25,50.90
10033,1565761,386.92,0,0.00,53926,20116,139.37,51.99
10034,2917184,720.87,0,0.00,38908,15671,53.97,21.74
10035,3616216,893.60,0,0.00,33969,13935,38.01,15.59
10036,1148108,283.71,0,0.00,24711,17958,87.10,63.30
10037,683722,168.95,0,0.00,17416,9451,103.08,55.94
10038,770757,190.46,0,0.00,20300,10211,106.58,53.61
10039,1199364,296.37,0,0.00,24527,10868,82.76,36.67
10040,976162,241.22,0,0.00,41905,16506,173.72,68.43
10044,625938,154.68,0,0.00,11661,4913,75.39,31.76
10065,1000544,247.24,0,0.00,32270,22754,130.52,92.03
