ZCTA,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,percent_low_education
06390,20,0,236,0,1.3,1.2%
10001,3641,3.9,15204,4.3,3.8,7.3%
10002,7339,15.7,60444,25.6,11.7,35.0%
10003,12397,0.9,40721,2,2.2,3.4%
10004,173,4.6,2165,0,1.6,1.8%
10005,944,0.2,4402,1.5,1.3,2.3%
10006,332,3.9,2151,0,1.1,1.5%
10007,349,12.6,4754,3.3,4.1,7.8%
10009,8311,9.2,47397,9.5,7.1,15.5%
10010,4272,1.3,22577,1.2,1.7,2.6%
10011,3444,4.8,43121,2.2,2.7,4.9%
10012,2945,3.2,19438,4.6,2.5,6.6%
10013,3855,4.8,18492,16.6,5.3,19.0%
10014,2346,2,26085,0.7,1.3,2.0%
10016,7541,1.7,40702,1.3,1.8,2.9%
10017,1664,1.4,13553,0.9,1.4,2.2%
10018,955,1.7,4775,8.3,3.5,10.1%
10019,3217,8.5,34029,4,3.4,7.5%
10020,0,,0,,,0.0%
10021,1762,2.8,34740,0.9,2,2.9%
10022,1896,1.7,24895,0.5,0.8,1.3%
10023,3638,3.4,48250,1.7,2,3.7%
10024,2780,3.5,46577,2.4,2.5,4.8%
10025,11376,6.8,71360,4.7,4.6,9.0%
10026,4276,23.9,24622,7.8,10.5,19.1%
10027,11366,10.9,38712,8.5,10.3,17.0%
10028,3128,2,35832,0.9,1,1.9%
10029,10275,27.9,51173,14.1,15.9,29.6%
10030,3218,19.8,19426,9.9,14.7,23.9%
10031,7632,20.3,39785,17.6,11.1,27.3%
10032,8160,25.6,42196,22.3,14.7,35.2%
10033,7343,13.7,39415,16.9,12.6,27.0%
10034,4287,31.6,28613,19.5,10.4,30.1%
10035,4142,26.1,22506,18.9,18.1,35.3%
10036,2339,5.3,18683,3.3,3.1,6.3%
10037,1987,31.4,12138,4.8,10,17.1%
10038,3678,4.9,14123,12.5,6.7,16.2%
10039,3256,27.6,15854,10.7,12,23.5%
10040,4993,21.2,30350,15,13,27.0%
10044,1230,12.4,9014,7.4,6.7,13.9%
10065,1934,4.7,26986,0.8,1.6,2.6%
10069,45,0,4322,0,0.3,0.3%
10075,1274,2,20116,0.7,1,1.7%
10103,0,,0,,,0.0%
10110,0,,3,0,0,0.0%
10111,0,,0,,,0.0%
10112,0,,0,,,0.0%
10115,0,,0,,,0.0%
10119,0,,0,,,0.0%
10128,3633,5.7,47228,2.5,2.2,4.8%
10152,0,,0,,,0.0%
10153,0,,0,,,0.0%
10154,0,,0,,,0.0%
10162,6,0,1109,0,1,1.0%
10165,0,,0,,,0.0%
10167,0,,0,,,0.0%
10168,0,,0,,,0.0%
10169,0,,0,,,0.0%
10170,0,,0,,,0.0%
10171,0,,0,,,0.0%
10172,0,,0,,,0.0%
10173,0,,0,,,0.0%
10174,0,,0,,,0.0%
10177,0,,0,,,0.0%
10199,0,,0,,,0.0%
10271,0,,0,,,0.0%
10278,0,,0,,,0.0%
10279,0,,0,,,0.0%
10280,373,2.4,5847,1.6,0.8,2.4%
10282,92,0,3695,0.8,1.1,1.9%
10301,5454,12.2,24683,6.1,8.7,14.3%
10302,1551,23.2,10780,9.1,11.2,20.7%
10303,2944,17.9,15108,7.6,9.8,17.5%
10304,4673,21.8,26789,10.7,10.1,20.9%
10305,3809,6.8,29102,7.5,8.6,15.0%
10306,4270,8.2,39188,3.7,6.4,9.9%
10307,1271,4.3,9273,2.8,4.9,7.3%
10308,2594,5,20068,2.8,5.9,8.3%
10309,2559,7.2,21676,3.4,6,9.2%
10310,2370,14.8,15381,5.4,7.9,13.5%
10311,0,,0,,,0.0%
10312,5368,5.5,42252,2.8,5,7.5%
10314,7205,8.9,61561,3.6,7.1,10.5%
10451,5568,28,27484,19.3,18.4,36.1%
10452,8335,32.5,43371,21.4,16.4,36.9%
10453,9923,29.2,45713,19.6,17.7,35.9%
10454,5181,38.3,21162,24.1,20.8,43.6%
10455,4146,32.4,21542,25.5,20,43.4%
10456,10509,38.6,51887,20.5,20.4,40.5%
10457,9508,34.6,38310,21.5,17.9,38.4%
10458,11718,24.6,42376,19.5,18,34.7%
10459,5703,36.1,25297,22.8,21.2,42.5%
