ZCTA,percent_vacant_units,HC01_VC25,HC01_VC33,HC01_VC34,percent_pre1950_units
06390,76.9,628,114,149,41.9%
10001,14,12473,750,4914,45.4%
10002,8.3,35140,3550,14246,50.6%
10003,11.8,31316,1458,17338,60.0%
10004,24.2,1938,43,1439,76.5%
10005,22.7,4299,89,2106,51.1%
10006,21.3,2107,74,1246,62.6%
10007,13,2825,58,730,27.9%
10009,4.9,31423,9147,10935,63.9%
10010,14.6,18513,2660,5236,42.7%
10011,11.3,33453,1568,18922,61.3%
10012,13.1,14783,862,9562,70.5%
10013,18.8,13165,589,8374,68.1%
10014,13.1,21283,889,14771,73.6%
10016,15.4,33931,1908,8704,31.3%
10017,21.4,12860,473,5261,44.6%
10018,18.7,3815,97,1513,42.2%
10019,21.3,30550,2213,10864,42.8%
10020,,0,0,0,0.0%
10021,20,29234,1978,8805,36.9%
10022,23.3,22822,1563,7108,38.0%
10023,17.8,39694,2334,19593,55.2%
10024,13,33785,1574,26089,81.9%
10025,8.6,47669,2039,31233,69.8%
10026,12.7,16166,834,7081,49.0%
10027,11.7,26109,2038,11914,53.4%
10028,12.1,28157,1889,10465,43.9%
10029,8.1,31735,3297,7860,35.2%
10030,12.2,13984,1317,7368,62.1%
10031,9.5,23105,1835,16958,81.3%
10032,6.2,21398,2466,14520,79.4%
10033,5.5,20533,1557,15762,84.3%
10034,5.6,15952,1399,10890,77.0%
10035,10.4,13775,744,3475,30.6%
10036,15.5,16464,627,5854,39.4%
10037,11.3,9481,1509,1355,30.2%
10038,9.6,9816,730,2816,36.1%
10039,8.4,10980,821,3176,36.4%
10040,4.6,16618,1758,11369,79.0%
10044,10.8,4743,10,108,2.5%
10065,23.8,23702,1926,7719,40.7%
10069,17.7,3435,0,51,1.5%
10075,15.8,16157,689,6856,46.7%
10103,,0,0,0,0.0%
10110,,0,0,0,0.0%
10111,,0,0,0,0.0%
10112,,0,0,0,0.0%
10115,,0,0,0,0.0%
10119,,0,0,0,0.0%
10128,11.4,35652,2127,12517,41.1%
10152,,0,0,0,0.0%
10153,,0,0,0,0.0%
10154,,0,0,0,0.0%
10162,18,945,28,58,9.1%
10165,,0,0,0,0.0%
10167,,0,0,0,0.0%
10168,,0,0,0,0.0%
10169,,0,0,0,0.0%
10170,,0,0,0,0.0%
10171,,0,0,0,0.0%
10172,,0,0,0,0.0%
10173,,0,0,0,0.0%
10174,,0,0,0,0.0%
10177,,0,0,0,0.0%
10199,,0,0,0,0.0%
10271,,0,0,0,0.0%
10278,,0,0,0,0.0%
10279,,0,0,0,0.0%
10280,20.6,4844,41,12,1.1%
10282,10.3,2539,0,14,0.6%
10301,14,16533,1285,6590,47.6%
10302,10.7,6407,605,3078,57.5%
10303,12.3,9330,662,2747,36.5%
10304,8.1,15697,489,4268,30.3%
10305,8.4,16156,557,3616,25.8%
10306,5.8,21618,1442,3320,22.0%
10307,8.2,5242,238,1478,32.7%
10308,3.6,10573,293,1213,14.2%
10309,6,11095,71,885,8.6%
10310,9.7,9406,697,4605,56.4%
10311,,0,0,0,0.0%
10312,3.8,22144,413,999,6.4%
10314,5.6,32529,1264,3839,15.7%
10451,6.2,18321,1966,4782,36.8%
10452,6.2,26258,2447,13403,60.4%
10453,9.3,27711,2124,14866,61.3%
10454,9.4,13680,734,3013,27.4%
10455,9,14066,1431,5015,45.8%
10456,7.1,30359,2215,11689,45.8%
10457,8.7,24169,2854,12553,63.7%
10458,8.6,27701,2407,18976,77.2%
10459,6.5,16454,1019,5224,37.9%
10460,6.9,20802,1820,7008,42.4%
10461,7.1,20908,2723,7622,49.5%
10462,7.6,30840,5902,13301,62.3%
10463,8.1,29807,2608,10045,42.4%
10464,6.2,2167,265,931,55.2%
10465,7.2,17025,1405,4312,33.6%
10466,6.9,24366,3133,9643,52.4%
10467,7.2,37245,4882,14198,51.2%
10468,7,26189,2734,15954,71.4%
10469,6.5,23693,4393,5300,40.9%
10470,10.7,6601,1002,2759,57.0%
10471,12.1,9963,987,2228,32.3%
10472,10.2,23369,2230,11526,58.9%
10473,6.6,21730,1542,3353,22.5%
10474,9.4,4161,365,1114,35.5%
10475,3.9,18286,456,455,5.0%
10501,0,395,10,37,11.9%
10502,4.7,1883,147,347,26.2%
10503,0,123,0,123,100.0%
10504,5.9,2593,85,461,21.1%
10505,0,168,0,3,1.8%
10506,12.7,2084,62,454,24.8%
10507,10.3,2232,160,453,27.5%
10509,5.6,7548,380,1195,20.9%
10510,4,3700,93,587,18.4%
10511,8,976,134,241,38.4%
10512,9.5,10186,842,1523,23.2%
10514,1.6,4133,285,786,25.9%
10516,7,2374,118,612,30.7%
10517,2.4,210,34,113,70.0%
10518,4.5,561,0,51,9.1%
10519,15.2,79,0,79,100.0%
10520,6.4,5605,450,1313,31.5%
10522,7.6,4130,244,1314,37.7%
10523,7.4,2887,146,626,26.7%
10524,14.8,1791,235,311,30.5%
10526,11.1,742,39,113,20.5%
10527,9.4,417,0,51,12.2%
10528,5.3,5071,534,1477,39.7%
10530,5.1,6037,421,870,21.4%
10532,0,1670,173,347,31.1%
10533,3,2965,170,710,29.7%
10535,10.2,266,17,107,46.6%
10536,6.4,3679,121,854,26.5%
10537,17.4,952,248,428,71.0%
10538,5.1,6316,509,3872,69.4%
10541,5.2,9416,989,1300,24.3%
10543,8.1,8209,683,2848,43.0%
10545,,0,0,0,0.0%
10546,11.3,495,0,40,8.1%
10547,7.8,2992,368,495,28.8%
10548,5.3,1159,54,267,27.7%
10549,3.4,5927,217,1338,26.2%
10550,14.7,15935,3781,5171,56.2%
10552,8.7,9662,1895,4149,62.6%
10553,7.5,3738,683,1536,59.4%
10560,19.6,1943,103,565,34.4%
10562,8.1,11311,489,4039,40.0%
10566,9.6,9700,704,2859,36.7%
10567,5.4,6892,526,745,18.4%
10570,1.4,4220,442,1273,40.6%
10573,5.4,13800,1108,4458,40.3%
10576,13.9,2186,107,383,22.4%
10577,1.7,867,19,216,27.1%
10578,0,184,14,53,36.4%
10579,8.2,3471,268,650,26.4%
10580,5.3,6406,541,2681,50.3%
10583,3.8,14125,982,5153,43.4%
10588,2.6,890,100,254,39.8%
10589,4.8,4104,54,204,6.3%
10590,9.9,2623,107,521,23.9%
10591,5.6,9172,614,3567,45.6%
10594,1.5,1586,107,342,28.3%
10595,2.6,2307,147,403,23.8%
10596,10.5,588,0,297,50.5%
10597,3.4,356,0,37,10.4%
10598,3.9,10586,355,839,11.3%
10601,5.8,5771,395,1544,33.6%
10603,4.8,6926,408,1355,25.5%
10604,5.8,4229,464,619,25.6%
10605,2.8,7289,406,2347,37.8%
10606,8.3,6351,249,3103,52.8%
10607,1.5,2270,194,430,27.5%
10701,9.9,25125,2991,8652,46.3%
10703,10.4,7593,863,2225,40.7%
10704,6.1,13259,1876,4230,46.1%
10705,9.6,14633,1938,7244,62.7%
10706,3.1,3336,378,1678,61.6%
10707,3.9,4167,348,1636,47.6%
10708,5.8,9865,782,4330,51.8%
10709,7.8,3962,667,873,38.9%
10710,5.2,10721,1106,1469,24.0%
10801,8.2,15340,810,7931,57.0%
10803,5.5,4335,421,2497,67.3%
10804,3.1,5448,342,1991,42.8%
10805,6,8113,955,2486,42.4%
10901,5.5,9300,351,1243,17.1%
10910,,0,0,0,0.0%
10911,,0,0,0,0.0%
10913,4.5,1681,89,113,12.0%
10914,0,79,0,10,12.7%
10915,0,71,0,0,0.0%
10916,8.9,1398,33,159,13.7%
10917,11,698,36,272,44.1%
10918,6.9,4414,207,667,19.8%
10919,0,501,20,123,28.5%
10920,2,3046,135,420,18.2%
10921,4.3,1640,46,498,33.2%
10922,17.9,576,69,142,36.6%
10923,6.6,2859,172,389,19.6%
10924,5.4,4707,144,1581,36.6%
10925,21.5,2083,632,580,58.2%
10926,3.6,1291,0,237,18.4%
10927,7,3877,105,1471,40.6%
10928,6.7,1764,139,979,63.4%
10930,5.4,3121,59,320,12.1%
10931,8.9,370,14,280,79.5%
10932,0,40,0,40,100.0%
10933,0,178,8,37,25.3%
10940,10.5,18659,717,6669,39.6%
10941,5.8,5001,144,345,9.8%
10950,10.8,14242,713,1566,16.0%
10952,5.2,9769,294,490,8.0%
10953,30.4,115,0,47,40.9%
10954,3.3,8771,355,432,9.0%
10956,3.2,10571,291,538,7.8%
10958,2.9,1096,72,207,25.5%
10960,7.2,6951,513,2376,41.6%
10962,0,1666,53,202,15.3%
10963,12.9,892,42,286,36.8%
10964,6.9,636,15,158,27.2%
10965,8.4,5609,492,990,26.4%
10968,10.4,1335,93,402,37.1%
10969,2.5,477,20,101,25.4%
10970,6.7,3590,131,122,7.0%
