ZCTA,median_income,margin_of_error
06390,146917,27693
10001,76138,8189
10002,32265,2395
10003,91767,5086
10004,127281,22042
10005,120729,11887
10006,115787,24791
10007,210125,38367
10009,59034,4175
10010,95556,9188
10011,101515,2204
10012,77853,7036
10013,68790,8565
10014,105144,7145
10016,101979,4073
10017,108250,6747
10018,87813,13610
10019,80519,6561
10020,,
10021,106236,7929
10022,106888,7306
10023,105311,5150
10024,110091,5604
10025,68463,4161
10026,42058,3040
10027,35694,2558
10028,107976,6678
10029,31254,1526
10030,30674,2530
10031,36495,2470
10032,36095,2424
10033,41352,3264
10034,43049,2640
10035,26214,2351
10036,64013,5276
10037,39897,5621
10038,65934,5696
10039,35710,2948
10040,40385,3023
10044,75325,11779
10065,109960,11982
10069,186569,36953
10075,100206,7508
10103,,
10110,,
10111,,
10112,,
10115,,
10119,,
10128,96974,5207
10152,,
10153,,
10154,,
10162,165917,81898
10165,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10177,,
10199,,
10271,,
10278,,
10279,,
10280,125830,11961
10282,233409,31582
10301,54792,3354
10302,56883,7509
10303,50137,4945
10304,51852,5183
10305,66478,3878
10306,77720,3902
10307,86011,5922
10308,90196,4912
10309,86759,3623
10310,62457,6662
10311,,
10312,87426,3800
10314,79820,3180
10451,26541,2460
10452,26636,1497
10453,26120,1471
10454,19271,1505
10455,21379,2395
10456,22604,1693
10457,24445,1639
10458,24478,1516
10459,21913,1225
10460,22625,1866
10461,50329,2492
10462,46001,2243
10463,53282,2599
10464,61063,8479
10465,63352,5888
10466,44038,3517
10467,35358,1412
10468,32985,2215
10469,55724,2995
10470,56058,6656
10471,71286,6023
10472,31594,1826
10473,37616,2741
10474,23297,3445
10475,45460,3635
10501,137188,55047
10502,155365,17504
10503,214327,95935
10504,178409,25048
10505,152500,53908
10506,173625,20643
10507,69238,12232
10509,94885,7921
10510,165469,21313
10511,85368,10815
10512,91456,4640
10514,213750,24274
10516,76719,7183
10517,89028,6309
10518,186607,60144
10519,122098,7116
10520,102473,10018
10522,106989,9336
10523,79789,7426
10524,110820,6472
10526,130192,59010
10527,194773,28576
10528,97500,16735
10530,93320,7605
10532,109891,13115
10533,123790,20910
10535,88259,16012
10536,155802,13714
10537,80432,11575
10538,155000,12171
10541,105798,4571
10543,88136,5907
10545,,
10546,114063,53335
10547,82132,24786
10548,96023,15708
10549,80460,6823
10550,40833,3006
10552,64494,4444
10553,59946,9818
10560,145131,24028
10562,76446,4236
10566,60833,4054
10567,108618,7180
10570,128646,11442
10573,63931,5794
10576,180417,22273
10577,203750,39206
10578,122188,34108
10579,102589,9051
10580,150486,11632
10583,165792,10030
10588,77528,29110
10589,91554,9419
10590,132037,16609
10591,75091,7479
10594,110000,21892
10595,103922,7825
10596,54318,9239
10597,186554,81781
10598,103815,5504
10601,64106,6488
10603,87572,12059
10604,76480,18824
10605,105801,9365
10606,59440,11702
10607,131536,20535
10701,42827,2627
10703,57466,11854
10704,63477,4391
10705,45352,3471
10706,121932,18107
10707,96691,9570
10708,95891,4077
10709,94844,10029
10710,72410,3591
10801,55844,5398
10803,145000,17105
10804,155489,15343
10805,54323,3354
10901,87665,4814
10910,,
10911,,
10913,121833,11189
10914,173024,90609
10915,19836,45642
10916,92194,8455
10917,91186,25711
10918,79899,11531
10919,90368,23975
10920,93839,12287
10921,76322,8505
10922,85197,18327
10923,87761,5759
10924,86310,6708
10925,69984,16424
10926,72469,9437
10927,54926,8573
10928,68224,13775
10930,116414,7482
10931,77361,12015
10932,150776,132352
10933,96419,86690
10940,60365,2846
10941,72052,6435
10950,79009,7248
10952,54275,6126
10953,81042,122333
10954,93141,6258
10956,119022,3449
10958,97500,25016
10960,76016,9173
10962,101786,22160
10963,66250,8118
10964,99318,43125
10965,100324,7353
10968,87539,13269
10969,72768,56648
10970,73438,16487
10973,70833,28238
10974,91750,10479
10975,64243,13728
10976,40893,24254
10977,62813,3372
10979,63036,36239
10980,95648,9379
10983,120000,19599
10984,124750,38300
10985,220577,289323
10986,100551,8260
10987,96063,16823
10988,74167,31979
10989,98904,6088
10990,91011,6069
10992,90617,5916
10993,61818,13473
10994,126386,12737
10996,100000,22767
10998,97679,13356
11001,101537,4428
11003,83754,3302
11004,78766,9801
11005,70036,12163
11010,87130,6259
11020,126143,11782
11021,97757,10948
11023,105427,12561
11024,89964,8504
11030,174015,20180
11040,99793,4463
11042,,
11050,109258,7553
11096,54611,6006
11101,43909,4135
11102,48548,2843
11103,55844,2517
11104,54188,2404
11105,57576,2454
11106,49371,3207
11109,126225,15755
11201,93693,5405
11203,49002,2253
11204,45112,2785
11205,42434,2849
11206,28584,1645
11207,32642,1782
11208,35665,1495
11209,57713,2422
11210,54664,2001
11211,44173,2126
11212,27901,1844
11213,35344,1629
11214,41246,1563
11215,93184,4253
11216,41688,1744
11217,78591,5094
11218,53251,2574
11219,34590,1532
11220,38267,2612
11221,37608,2457
11222,62634,3769
11223,40960,1620
11224,31415,2217
11225,40481,2101
11226,40146,1311
11228,61213,4128
11229,49629,2008
11230,42568,2528
11231,71999,2956
11232,40565,2875
11233,35620,2318
11234,68177,2289
11235,42298,3303
11236,60758,2040
11237,37636,2618
11238,64981,2361
11239,24640,6143
11351,,
11354,48236,2947
11355,43248,1885
11356,59289,6127
11357,76014,2676
