Created Date,Incident Zip,Borough
01/01/2010 08:29:58 AM,11206,BROOKLYN
01/01/2010 11:20:45 AM,11365,QUEENS
01/01/2010 12:11:51 PM,10027,MANHATTAN
01/01/2010 12:12:04 PM,10458,BRONX
01/01/2010 02:15:27 PM,11218,BROOKLYN
01/01/2010 03:05:37 PM,11377,QUEENS
01/01/2010 04:14:27 PM,10467,BRONX
01/01/2010 08:52:19 PM,11201,BROOKLYN
01/01/2010 11:46:51 PM,11201,BROOKLYN
01/02/2010 12:50:36 AM,10016,MANHATTAN
01/02/2010 07:09:56 AM,11204,BROOKLYN
01/02/2010 09:04:46 AM,11375,QUEENS
01/02/2010 09:38:29 AM,11432,QUEENS
01/02/2010 11:27:03 AM,11220,BROOKLYN
01/02/2010 12:09:47 PM,11377,QUEENS
01/02/2010 12:49:49 PM,10455,BRONX
01/02/2010 12:50:16 PM,10034,MANHATTAN
01/02/2010 01:07:42 PM,10452,BRONX
01/02/2010 01:37:04 PM,11236,BROOKLYN
01/02/2010 06:27:59 PM,11233,BROOKLYN
01/02/2010 11:06:30 PM,10459,BRONX
01/03/2010 10:43:47 AM,11225,BROOKLYN
01/03/2010 01:59:53 PM,11432,QUEENS
01/03/2010 09:37:45 PM,11210,BROOKLYN
01/04/2010 12:20:25 AM,10458,BRONX
01/04/2010 07:04:44 AM,10306,STATEN ISLAND
01/04/2010 07:52:52 AM,10032,MANHATTAN
01/04/2010 09:20:32 AM,10457,BRONX
01/04/2010 10:05:31 AM,10014,MANHATTAN
01/04/2010 10:14:34 AM,10036,MANHATTAN
01/04/2010 10:45:14 AM,11221,BROOKLYN
01/04/2010 11:05:45 AM,,BROOKLYN
01/04/2010 12:00:19 PM,10024,MANHATTAN
01/04/2010 12:51:00 PM,11367,QUEENS
01/04/2010 12:51:35 PM,10456,BRONX
01/04/2010 12:51:36 PM,10024,MANHATTAN
01/04/2010 01:02:26 PM,11213,BROOKLYN
01/04/2010 02:06:14 PM,11209,BROOKLYN
01/04/2010 03:19:29 PM,10029,MANHATTAN
01/04/2010 03:28:41 PM,10029,MANHATTAN
01/04/2010 03:33:26 PM,10467,BRONX
01/04/2010 03:38:48 PM,11206,BROOKLYN
01/04/2010 03:50:50 PM,11216,BROOKLYN
01/04/2010 05:32:59 PM,10002,MANHATTAN
01/04/2010 06:00:24 PM,10033,MANHATTAN
01/04/2010 08:15:55 PM,10468,BRONX
01/04/2010 08:34:45 PM,10003,MANHATTAN
01/04/2010 09:34:17 PM,10452,BRONX
01/05/2010 02:52:07 AM,10460,BRONX
