zip_code,name,total_population,median_home_price,median_income,land_area_acres,people_per_acre
10001,10001 - Fur-Flower District,20131,591460,130699,421,48
10002,10002 - Chinatown/Lower East Side,80888,580475,39663,598,135
10003,10003 - Cooper Square/Union Square,61182,795634,144688,392,156
10004,10004 - Battery/Governors Island,3601,852918,197774,124,29
10005,10005 - Wall Street,5526,921374,165145,55,100
10006,10006 - Trinity,2406,736500,207813,50,48
10007,10007 - City Hall,6295,983770,227481,86,73
10009,10009 - East Village/Stuyvesant Town,62515,654679,63662,398,157
10010,10010 - Madison Square/Cooper Village,20473,785609,141111,181,113
10011,10011 - Chelsea,51671,838700,165551,442,117
10012,10012 - Village/Noho/Soho,24156,968732,135684,224,108
10013,10013 - Tribeca/Chinatown,25978,944730,138472,395,66
10014,10014 - Greenwich Village,32038,927026,175909,359,89
10016,10016 - Murray Hill,53028,758754,164969,362,146
10017,10017 - Grand Central/United Nations,17199,716397,179087,192,90
10018,10018 - Garment District,4967,769634,135025,169,29
10019,10019 - Midtown/Clinton,38810,833718,129995,424,92
10020,10020 - Rockefeller Center,219,794272,114665,10,22
10021,10021 - Lenox Hill,98946,884540,197154,625,158
10022,10022 - Sutton Place/Beekman Place,31027,840875,216467,301,103
10023,10023 - Lincoln Center/Ansonia,65654,862923,196097,416,158
10024,10024 - Upper West Side,60946,975032,180038,353,173
10025,10025 - Cathedral,95601,877238,107307,556,172
10026,"10026 - Central Harlem, South",33185,686252,44322,206,161
10027,10027 - Manhattanville,59519,663178,48117,624,95
10028,10028 - Yorkville,47916,897983,208914,938,51
10029,"10029 - East Harlem, South",79446,725527,39102,535,148
10030,"10030 - Central Harlem, Middle",27860,721127,39678,178,157
10031,10031 - Hamilton Heights,58899,568050,37512,459,128
10032,10032 - South Washington Heights,63439,413964,40732,405,157
10033,10033 - Washington Heights,57848,456261,45709,343,169
10034,10034 - Inwood,40371,336068,45857,605,67
10035,"10035 - East Harlem, Middle",34209,558814,34009,904,38
10036,10036 - Theatre District/Clinton,22630,745291,89505,333,68
10037,"10037 - East Harlem, North",19239,364802,48207,179,107
10038,10038 - South St. Seaport/Chinatown,19586,655801,76880,177,111
10039,"10039 - Central Harlem, North",25047,325338,35827,188,133
10040,10040 - North Washington Heights,44277,338726,45454,312,142
10044,10044 - Roosevelt Island,11399,461900,99957,155,74
10128,10128 - Yorkville,58215,884647,170088,291,200
10280,10280 - Battery Park City,12411,775108,197104,130,95
10301,10301 - New Brighton/Grymes Hill,40186,443129,73103,2292,18
10302,10302 - Port Richmond,18278,411285,68958,826,22
10303,10303 - Mariners Harbour/Point Ivory,19937,342896,58703,1622,12
10304,10304 - Stapleton/Fox Hills,40717,468014,61778,2291,18
10305,10305 - Rosebank,40408,445527,77447,2598,16
10306,10306 - New Dorp/Richmondtown,55080,484316,91014,4784,12
10307,10307 - Tottenville,14282,591349,99639,1368,10
10308,10308 - Great Kills,29527,465193,95938,1532,19
10309,10309 - Princes Bay/Woodrow,31601,550818,95319,6791,5
10310,10310 - West New Brighton,23665,442697,81730,1199,20
10312,10312 - Eltingville/Annadale,59365,495530,98505,3875,15
10314,10314 - Castleton Corners/New Springvill,80890,454842,91244,7226,11
10451,10451 - Melrose,43276,153101,31525,689,63
10452,10452 - Highbridge,75675,360184,29339,595,127
10453,10453 - Morris Heights,78752,407864,28888,534,147
10454,10454 - Mott Haven/Port Morris,38248,432558,24243,674,57
10455,10455 - The Hub/Longwood,40424,330634,29855,471,86
10456,10456 - Morrisania,82686,332345,27404,635,130
10457,10457 - Tremont/East Tremont,69319,344823,28481,712,97
10458,10458 - Belmont/Fordham/Bedford Park,75012,359823,29088,1003,75
10459,10459 - Longwood/Morrisania,45959,364866,27499,506,91
10460,10460 - West Farms/Crotona,54751,405361,29140,1082,51
10461,10461 - Westchester/Morris Park,50168,470178,59770,1537,33
10462,10462 - Parkchester/Van Nest,77157,314224,50463,942,82
10463,10463 - Kingsbridge (full),69005,300694,66722,1178,59
10464,10464 - City Island,4210,529500,105492,404,10
10465,10465 - Throgs Neck/Country Club,42540,451466,80188,2365,18
10466,10466 - Wakefield,71894,414279,52884,1323,54
10467,10467 - Norwood/Williamsbridge,93380,372864,40852,2616,36
10468,10468 - University Heights,73531,209921,34605,681,108
10469,10469 - Williamsbridge/Baychester,71973,442888,66873,1509,48
10470,10470 - Woodlawn/Wakefield,15626,412084,65032,355,44
10471,10471 - Riverdale/Fieldston,21732,394847,104571,851,26
10472,10472 - Soundview,66035,463415,34495,674,98
10473,10473 - Clasons Point,57457,391007,48539,1478,39
10474,10474 - Hunts Point,12473,375863,24193,992,13
10475,10475 - Co-op City/Eastchester,41104,84122,66644,804,51
11001,11001 - Floral Park,4217,486530,102083,180,23
11004,11004 - Glen Oaks,13338,448299,93844,817,16
11005,11005 - North Shore Towers,3156,317798,94889,159,20
11040,11040 - New Hyde Park,2173,462038,99500,97,22
11101,11101 - Long Island City/Hunters Point,27014,589235,62166,1648,16
11102,11102 - Old Astoria,33512,618210,51616,521,64
11103,11103 - Astoria,35496,690994,62487,443,80
11104,11104 - Sunnyside,27433,455577,60280,358,77
11105,11105 - Steinway,37717,667396,61324,670,56
11106,11106 - Ravenswood,36287,459945,51621,540,67
11201,11201 - Brooklyn Heights/Cobble Hill,50359,716515,147808,845,60
11203,11203 - East Flatbush,81871,439645,60512,1311,62
11204,11204 - Parkville/Bensonhurst,81578,657063,50637,1018,80
11205,11205 - Fort Greene,38595,597154,56045,763,51
11206,11206 - Williamsburg/Bedford-Stuyvesant,79353,520421,31987,930,85
11207,11207 - East New York,87506,438951,37055,1651,53
11208,11208 - Cypress Hills,96565,472409,37956,2418,40
11209,11209 - Bay Ridge,70015,599528,71940,1374,51
11210,11210 - Vanderveer,63673,516493,65523,996,64
11211,11211 - Williamsburg,89850,657968,40943,1475,61
11212,11212 - Brownsville,81429,413459,34378,1013,80
11213,11213 - Brower Park/Crown Heights,61658,594425,39689,690,89
11214,11214 - Bath Beach/Bensonhurst,77428,602231,47735,1482,52
11215,11215 - Park Slope/Windsor Terrace,67777,903173,120682,1400,48
11216,11216 - Bedford-Stuyvesant,54631,651540,45667,607,90
11217,11217 - Park Slope/Gowanus,37095,846911,96551,476,78
11218,11218 - Kensington/Windsor Terrace,78385,561782,56729,901,87
11219,11219 - Borough Park,91090,737907,37303,958,95
11220,11220 - Sunset Park,100554,605232,39894,1008,100
11221,11221 - Bushwick/Bedford-Stuyvesant,76174,558071,42090,860,89
11222,11222 - Greenpoint,34304,712789,64134,969,35
11223,11223 - Gravesend/Homecrest,72552,627803,50512,1189,61
11224,11224 - Coney Island,41754,378589,41245,1006,42
11225,11225 - Crown Heights,58831,654557,47147,545,108
11226,11226 - Flatbush,100253,484321,46200,796,126
11228,11228 - Dyker Heights,42028,672011,71147,750,56
11229,11229 - Homecrest/Madison,77052,538022,64983,1336,58
11230,11230 - Midwood,82904,605354,56699,1238,67
11231,11231 - Carroll Gardens/Red Hook,35913,839184,90792,973,37
11232,11232 - Industry City/Sunset Park,28538,555763,38609,916,31
11233,11233 - Stuyvesant Heights,63923,562549,40191,869,74
11234,11234 - Flatlands/Mill Basin,96405,513695,80426,3882,25
11235,11235 - Sheepshead Bay/Brighton Beach,75707,521188,62534,1432,53
11236,11236 - Canarsie,94022,497863,69314,2102,45
11237,11237 - Bushwick,51664,495708,35306,494,105
11238,11238 - Prospect Heights,53405,661867,74453,627,85
11239,11239 - Starrett City,12777,466779,36751,291,44
11354,11354 - Flushing,52570,426995,56774,1291,41
11355,11355 - Flushing/Murray Hill,79906,480427,48643,1111,72
11356,11356 - College Point,22635,561224,76609,1086,21
11357,11357 - Whitestone,40729,545387,90209,1836,22
11358,11358 - Auburndale,39521,618735,80454,1295,31
11360,11360 - Bay Terrace,20565,472634,96878,879,23
11361,11361 - Bayside,29356,618703,84891,1092,27
11362,11362 - Little Neck,17007,460612,100234,1018,17
11363,11363 - Douglaston,7440,741095,116426,571,13
11364,11364 - Oakland Gardens/Bayside Hill,35733,431462,81585,2416,15
11365,11365 - Fresh Meadows,38466,580276,74408,1250,31
11366,11366 - Utopia/Fresh Meadows,16135,614573,89510,555,29
11367,11367 - Kew Garden Hills,41293,346410,61814,989,42
11368,11368 - Corona,104932,500910,44239,1149,91
11369,11369 - East Elmhurst,38094,471852,58696,1571,24
11370,11370 - Jackson Heights-Rikers Island,28880,538791,60777,524,55
11372,11372 - Jackson Heights,65987,280468,52404,490,135
11373,11373 - Elmhurst,101866,496486,50408,1100,93
11374,11374 - Rego Park,43277,386438,73224,604,72
11375,11375 - Forest Hills,70249,417367,90995,1231,57
11377,11377 - Woodside,84288,393165,54456,1598,53
11378,11378 - Maspeth,32990,544099,68099,1332,25
11379,11379 - Middle Village,27697,568470,78347,862,32
11385,11385 - Ridgewood/Glendale,99468,533743,57149,1759,57
11411,11411 - Cambria Heights,21391,416910,87094,798,27
11412,11412 - St. Albans,35775,416782,80136,1035,35
11413,11413 - Springfield Gardens/Laurelton,42054,425956,85592,1599,26
11414,11414 - Howard Beach,28190,483165,78178,1457,19
11415,11415 - Kew Gardens,19583,347058,67921,399,49
11416,11416 - Ozone Park/Woodhaven,23625,486853,57195,411,57
11417,11417 - Ozone Park,29571,479136,65734,902,33
11418,11418 - Richmond Hill,35110,483293,63415,742,47
11419,11419 - South Richmond Hill,46793,473544,57660,707,66
11420,11420 - South Ozone Park,48337,469393,66748,1205,40
11421,11421 - Woodhaven,41415,430764,61981,1125,37
11422,11422 - Rosedale,31802,442023,88703,1561,20
11423,11423 - Hollis/Holliswood,29415,417972,71702,848,35
11426,11426 - Bellerose,19041,484791,86751,703,27
11427,11427 - Queens Village/Creedmoor,23559,410970,83827,923,26
11428,11428 - Queens Village,20216,436715,79559,510,40
11429,11429 - Queens Village (South),28510,420709,74553,885,32
11430,11430 - JFK Airport,288,551929,73867,18,16
11432,11432 - Jamaica/Hillcrest,57144,535693,59174,1371,42
11433,11433 - South Jamaica,30118,397125,50828,945,32
11434,11434 - Rochdale/Baisley Park,59676,392326,65644,2096,28
11435,11435 - Jamaica Hills/South Jamaica,51992,371220,59311,1024,51
11436,11436 - South Ozone Park,18836,390778,63276,549,34
11691,11691 - Far Rockaway,57467,487823,51144,1630,35
11692,11692 - Arverne,18265,320691,47224,821,22
11693,11693 - Hammels/Broad Channel,11234,244416,59814,631,18
11694,11694 - Seaside/Belle Harbour/Neponsit,21596,649970,102196,1161,19
11697,11697 - Rockaway Point/Roxbury,4381,557300,103477,808,5
