zip_code,name
10128,10128 - Yorkville
10024,10024 - Upper West Side
10025,10025 - Cathedral
10033,10033 - Washington Heights
10026,"10026 - Central Harlem, South"
10021,10021 - Lenox Hill
10023,10023 - Lincoln Center/Ansonia
10009,10009 - East Village/Stuyvesant Town
10032,10032 - South Washington Heights
10030,"10030 - Central Harlem, Middle"
10003,10003 - Cooper Square/Union Square
10029,"10029 - East Harlem, South"
10453,10453 - Morris Heights
10016,10016 - Murray Hill
10040,10040 - North Washington Heights
10002,10002 - Chinatown/Lower East Side
11372,11372 - Jackson Heights
10039,"10039 - Central Harlem, North"
10456,10456 - Morrisania
10031,10031 - Hamilton Heights
10452,10452 - Highbridge
11226,11226 - Flatbush
10011,10011 - Chelsea
10010,10010 - Madison Square/Cooper Village
10038,10038 - South St. Seaport/Chinatown
10468,10468 - University Heights
11225,11225 - Crown Heights
10012,10012 - Village/Noho/Soho
10037,"10037 - East Harlem, North"
11237,11237 - Bushwick
10022,10022 - Sutton Place/Beekman Place
10005,10005 - Wall Street
11220,11220 - Sunset Park
10472,10472 - Soundview
10457,10457 - Tremont/East Tremont
10280,10280 - Battery Park City
10027,10027 - Manhattanville
11219,11219 - Borough Park
11373,11373 - Elmhurst
10019,10019 - Midtown/Clinton
11368,11368 - Corona
10459,10459 - Longwood/Morrisania
11216,11216 - Bedford-Stuyvesant
10017,10017 - Grand Central/United Nations
11213,11213 - Brower Park/Crown Heights
10014,10014 - Greenwich Village
11221,11221 - Bushwick/Bedford-Stuyvesant
11218,11218 - Kensington/Windsor Terrace
10455,10455 - The Hub/Longwood
11206,11206 - Williamsburg/Bedford-Stuyvesant
11238,11238 - Prospect Heights
10462,10462 - Parkchester/Van Nest
11212,11212 - Brownsville
11204,11204 - Parkville/Bensonhurst
11103,11103 - Astoria
11217,11217 - Park Slope/Gowanus
11104,11104 - Sunnyside
10458,10458 - Belmont/Fordham/Bedford Park
11233,11233 - Stuyvesant Heights
10044,10044 - Roosevelt Island
10007,10007 - City Hall
11355,11355 - Flushing/Murray Hill
11374,11374 - Rego Park
10036,10036 - Theatre District/Clinton
11106,11106 - Ravenswood
11230,11230 - Midwood
10034,10034 - Inwood
11419,11419 - South Richmond Hill
10013,10013 - Tribeca/Chinatown
11102,11102 - Old Astoria
11210,11210 - Vanderveer
10451,10451 - Melrose
11203,11203 - East Flatbush
11223,11223 - Gravesend/Homecrest
11211,11211 - Williamsburg
11201,11201 - Brooklyn Heights/Cobble Hill
10463,10463 - Kingsbridge (full)
11229,11229 - Homecrest/Madison
11416,11416 - Ozone Park/Woodhaven
11375,11375 - Forest Hills
10454,10454 - Mott Haven/Port Morris
11385,11385 - Ridgewood/Glendale
11105,11105 - Steinway
11228,11228 - Dyker Heights
11370,11370 - Jackson Heights-Rikers Island
10466,10466 - Wakefield
11207,11207 - East New York
11235,11235 - Sheepshead Bay/Brighton Beach
11377,11377 - Woodside
11214,11214 - Bath Beach/Bensonhurst
10475,10475 - Co-op City/Eastchester
10028,10028 - Yorkville
11209,11209 - Bay Ridge
11435,11435 - Jamaica Hills/South Jamaica
10460,10460 - West Farms/Crotona
11205,11205 - Fort Greene
11415,11415 - Kew Gardens
11215,11215 - Park Slope/Windsor Terrace
10006,10006 - Trinity
10001,10001 - Fur-Flower District
10469,10469 - Williamsbridge/Baychester
11418,11418 - Richmond Hill
11236,11236 - Canarsie
10470,10470 - Woodlawn/Wakefield
11239,11239 - Starrett City
11367,11367 - Kew Garden Hills
11432,11432 - Jamaica/Hillcrest
11224,11224 - Coney Island
11354,11354 - Flushing
11420,11420 - South Ozone Park
11208,11208 - Cypress Hills
11428,11428 - Queens Village
10473,10473 - Clasons Point
10035,"10035 - East Harlem, Middle"
11231,11231 - Carroll Gardens/Red Hook
11421,11421 - Woodhaven
10467,10467 - Norwood/Williamsbridge
11222,11222 - Greenpoint
11691,11691 - Far Rockaway
11423,11423 - Hollis/Holliswood
11412,11412 - St. Albans
11436,11436 - South Ozone Park
11417,11417 - Ozone Park
10461,10461 - Westchester/Morris Park
11429,11429 - Queens Village (South)
11379,11379 - Middle Village
11433,11433 - South Jamaica
11232,11232 - Industry City/Sunset Park
11365,11365 - Fresh Meadows
11358,11358 - Auburndale
10018,10018 - Garment District
11366,11366 - Utopia/Fresh Meadows
10004,10004 - Battery/Governors Island
11434,11434 - Rochdale/Baisley Park
11426,11426 - Bellerose
11361,11361 - Bayside
11411,11411 - Cambria Heights
11413,11413 - Springfield Gardens/Laurelton
10471,10471 - Riverdale/Fieldston
11427,11427 - Queens Village/Creedmoor
11234,11234 - Flatlands/Mill Basin
11378,11378 - Maspeth
11369,11369 - East Elmhurst
11001,11001 - Floral Park
11360,11360 - Bay Terrace
11040,11040 - New Hyde Park
11692,11692 - Arverne
11357,11357 - Whitestone
10302,10302 - Port Richmond
10020,10020 - Rockefeller Center
11356,11356 - College Point
11422,11422 - Rosedale
11005,11005 - North Shore Towers
10310,10310 - West New Brighton
11414,11414 - Howard Beach
10308,10308 - Great Kills
11694,11694 - Seaside/Belle Harbour/Neponsit
10465,10465 - Throgs Neck/Country Club
11693,11693 - Hammels/Broad Channel
10304,10304 - Stapleton/Fox Hills
10301,10301 - New Brighton/Grymes Hill
11362,11362 - Little Neck
11101,11101 - Long Island City/Hunters Point
11004,11004 - Glen Oaks
11430,11430 - JFK Airport
10305,10305 - Rosebank
10312,10312 - Eltingville/Annadale
11364,11364 - Oakland Gardens/Bayside Hill
11363,11363 - Douglaston
10474,10474 - Hunts Point
10303,10303 - Mariners Harbour/Point Ivory
10306,10306 - New Dorp/Richmondtown
10314,10314 - Castleton Corners/New Springvill
10307,10307 - Tottenville
10464,10464 - City Island
11697,11697 - Rockaway Point/Roxbury
10309,10309 - Princes Bay/Woodrow
