zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
00083,,,Manhattan,00083 - Central Park,843.00,0,0.00,0,0.00,0.0,0.0,0
10001,S,10001,Manhattan,10001 - Fur-Flower District,397.7,21102,53.06,76138,8189,7.3,14.0,45.4
10002,S,10002,Manhattan,10002 - Chinatown/Lower East Side,562.84,81410,144.64,32265,2395,35.0,8.3,50.6
10003,S,10003,Manhattan,10003 - Cooper Square/Union Square,368.94,56024,151.85,91767,5086,3.4,11.8,60.0
10004,S,10004,Manhattan,10004 - Battery/Governors Island,358.25,3089,8.62,127281,22042,1.8,24.2,76.5
10005,S,10005,Manhattan,10005 - Wall Street,47.05,7135,151.64,120729,11887,2.3,22.7,51.1
10006,S,10006,Manhattan,10006 - Trinity,58.76,3011,51.24,115787,24791,1.5,21.3,62.6
10007,S,10007,Manhattan,10007 - City Hall,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10008,P,10007,Manhattan,10008,104.62,6988,66.8,210125,38367,7.8,13.0,27.9
10009,S,10009,Manhattan,10009 - East Village/Stuyvesant Town,394.63,61347,155.45,59034,4175,15.5,4.9,63.9
10010,S,10010,Manhattan,10010 - Madison Square/Cooper Village,250.03,31834,127.32,95556,9188,2.6,14.6,42.7
10011,S,10011,Manhattan,10011 - Chelsea,421.38,50984,120.99,101515,2204,4.9,11.3,61.3
10012,S,10012,Manhattan,10012 - Village/Noho/Soho,206.91,24090,116.43,77853,7036,6.6,13.1,70.5
10013,S,10013,Manhattan,10013 - Tribeca/Chinatown,353.48,27700,78.36,68790,8565,19.0,18.8,68.1
10014,S,10014,Manhattan,10014 - Greenwich Village,364.48,31959,87.68,105144,7145,2.0,13.1,73.6
10016,S,10016,Manhattan,10016 - Murray Hill,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10017,S,10017,Manhattan,10017 - Grand Central/United Nations,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10018,S,10018,Manhattan,10018 - Garment District,205.94,5229,25.39,87813,13610,10.1,18.7,42.2
